| LINEAS  PRIORITARIAS                                          | GESTOR  DE PROYECTO               | Organo  desconcentrado /Red  prestacional o asitencial que  colaboran  en el proyecto    | Estudio                                                                                                                                                                                                                                                                                                    | ESTADO   ACTUAL DEL PROTOCOLO                          | Articulo                        | Tipo  de data utilizada                                  | Investigador Principal                                                      | Co-investigadores                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | APOYO ANALISIS DE DATOS                         |
|---------------------------------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------|---------------------------------|----------------------------------------------------------|-----------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------|
| Tema 3 Enfermedades  Cardiovasculares                         | DRA JESICA  BRAVO                 | IETSI-Centro de Salud  Renal                                                             | EPIDEMIOLOGÍA Y CARACTERÍSTICAS CLÍNICAS DE LA ENFERMEDAD RENAL CRÓNICA EN PACIENTES AFILIADOS A ESSALUD A NIVEL NACIONAL DURANTE EL PERIODO 2013-2022: UN ANÁLISIS SECUNDARIO DE DATOS DE LA VIGILANCIA DE SALUD RENAL (VISARE)                                                                           | IRRI 1 (completo RR2 (en proyecto para III trimestre)  |                                 | Data nacional                                            | Jessica Bravo                                                               | Lizbeth Arce Gallo Isabel Álamo Palomino Madeline Huanca Roca Daysi Zulema Díaz Obregón Percy Soto Becerra                                                                                                                                                                                                                                                                                                                                                                                                             | Randy Loayza/Richard Castillo/Paola Villaverde  |
| Otros temas                                                   | Dr. Mario  Diaz                   | IETSI -Procura                                                                           | PRONÓSTICO DE MUERTE, RECHAZO DE ÓRGANO Y SOBREVIDA EN PACIENTES CON ENFERMEDAD RENAL CRÓNICA (ERC) TRASPLANTADOS DEL ESSALUD, PERIODO 2011 – 2024                                                                                                                                                         | Elaboración  protocolo                                 |                                 | Data nacional/PROCURA                                    | (Gerente)                                                                   | Carlos Corso(Medico Jefe) /Mary Diaz (Gerente)L/Gladys Jesús Carlos Bautista(ip)//Luis Laban   Claudia Sedano                                                                                                                                                                                                                                                                                                                                                                                                            | Richard Castillo/Randy Loayza                   |
| Tema 11 Gestión                                               | Dr. Mario  Diaz                   | IETSI -Centro de Salud  Renal                                                            | FACTORES DE RIESGO CLÍNICOS Y DE MANEJO ASOCIADOS A INFECCIONES RELACIONADAS CON CATÉTER VENOSOCENTRAL EN PACIENTES EN HEMODIÁLISIS EN EL CENTRO NACIONAL DE SALUD RENAL, 2025                                                                                                                             | Elaboración  protocolo                                 |                                 | Data  Nacional    (Centro de  Salud Rena l)              | YULI VASQUEZ                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                                 |
| Tema 11 Gestión                                               | Dr. Mario  Diaz                   | IETSI-Centro de Salud  Renal                                                             | DISTRIBUCION  DE LA ENFEREMDAD RENAL CRONICA EN POBLACION DE RIESGO ATENDIDA EN IPRES  DE ESSALUD   MEDIANTE  LA HERRAMIENTA DIGITAL MOSARE                                                                                                                                                                | Elaboración  protocolo                                 |                                 | Data  Nacional    (Centro de  Salud Rena l)              | Juana Ormeño                                                                | Percy vidal /Isabel Alamo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Mitshell Ramos/Bryan Bastidas                   |
| Tema 10 Prestación de servicios                               | Dr. Mario  Diaz                   | IETSI -Centro de Salud  Renal                                                            | EFECTIVIDAD DE UNA ESTRATEGIA DE ENFERMERÍA CON EJERCICIOS PARA EL DESARROLLO VASCULAR EN PACIENTES CON ENFERMEDAD RENAL  CRÓNICA EN EL CENTRO NACIONAL DE SALUD RENAL, 2025                                                                                                                               | Elaboración  protocolo                                 |                                 | Data  Nacional    (Centro de  Salud Rena l)              | Rosaluz   Huamaní                                                           | Isabel alamo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | Richard Castillo/Randy Loayza                   |
| Tema 4 Diabete Mellitus                                       | Dr. Mario  Diaz                   | IETSI-Red Prestacional  Rebagliati                                                       |  ESTUDIO CLÍNICO EPIDEMIOLÓGICO DEL PIE DIABÉTICO Y SUS DESENLACES EN PACIENTES ADULTOS HOSPITALIZADOS EN LO ESTABLECIMIENTOS DE SALUD DEL SEGURO SOCIAL DE SALUD                                                                                                                                          | Cancelado                                              |                                 | Data Nacional                                            | José Luis Paz Ibarra                                                        | Laurie Marcilla Truyenque ,Amalia, Luis Laban                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Richard Castillo/Brik Meza/Elsa Rojas           |
| Tema 2 Salud Mental                                           | Dr. Alexis  Murrillo              | ETSI-Red Prestacional  Almenara                                                          | FRECUENCIA DE DIAGNÓSTICOS DE SALUD MENTAL EN** PACIENTES ATENDIDOS EN CONSULTORIOS EXTERNOS DE LA  EN EL HOSPITAL  GULLERMO ALMENARA IRIGOYEN                                                                                                                                                             | Enviado  al Comité  de Etica                           |                                 | Red Prestacional  Almenara                               | Jeff David Huarcaya Victoria                                                |  Angela Caterina Podestá Ampuero David Rogelio Villarreal Zegarra Rina Tipacti Tafur Amalia   Paola Alexis                                                                                                                                                                                                                                                                                                                                                                                                               | Brik Meza/Randy Loayza                          |
| Tema 2 Salud Mental                                           | DR. Cesar  Cayo                   | ETSI-Red Prestacional  Almenara                                                          | CARACTERIZACION DE PACIENTES USUARIOS DE CLOZAPINA  EN LA SEGURIDAD SOCIAL  EN EL PERU                                                                                                                                                                                                                     | Elaboración  protocolo                                 |                                 | Red Prestacional  Almenara                               | Jeff David Huarcaya Victoria                                                |  Dra Diana Lloja Fabian  Fiestas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | Mitshell Ramos/Bryan Bastidas                   |
| Tema 2 Salud Mental                                           | DR. Cesar  Cayo                   | ETSI-Red Prestacional  Almenara                                                          | MORBILIDAD PREVIA  Y PATRONES DE PRESCRIPCION SICOFARMACOLOGICA EN PACIENTES CON TRNSTORNO AFECTIVO BIPOLAR DE  NUEVO DIAGNOSTICO   EN ESSALUD                                                                                                                                                             | Elaboración  protocolo                                 |                                 | Red Prestacional  Almenara                               | Miguel Pinto                                                                | Dr Jef Huarcaya  Drr Fabian  Fiestas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Richard Castillo/Randy Loayza                   |
